Title,Date
"Nosso Planeta: Temporada 1: Dos desertos aos campos","31/07/2021"
"Brinquedos que Marcam Época: Temporada 3: Tartarugas Ninja","31/07/2021"
"Nosso Planeta: Temporada 1: Mares costeiros","31/07/2021"
"Cobra Kai: Temporada 1: A competição","26/07/2021"
"Cobra Kai: Temporada 1: Alunos novos","26/07/2021"
"Cobra Kai: Temporada 1: Contrapeso","26/07/2021"
"Cobra Kai: Temporada 1: Cobra Kai para sempre","24/07/2021"
"Cobra Kai: Temporada 1: Esqueleto","24/07/2021"
"Cobra Kai: Temporada 1: Acerte primeiro","24/07/2021"
"Cobra Kai: Temporada 1: Degenerado","24/07/2021"
"Paternidade","24/07/2021"
"The Playbook: Estratégias para Vencer: Jill Ellis – Regras de vida de um treinador","24/07/2021"
"The Playbook: Estratégias para Vencer: Doc Rivers – Regras de vida de um treinador","24/07/2021"
"Roubos Inacreditáveis: Sexo, dinheiro e assassinato – Parte 1","23/07/2021"
"Como Defender um Assassino: Temporada 1: É tudo culpa dela","23/07/2021"
"Como Defender um Assassino: Temporada 1: Piloto","23/07/2021"
"Corpo Humano: Nosso Mundo Interior: Pulsação","11/07/2021"
"Corpo Humano: Nosso Mundo Interior: Reações","10/07/2021"
"O Método Kominsky: Temporada 1: Capítulo 1: Um ator evita","09/07/2021"
"Milagre Azul","09/07/2021"
"Colcha de Retalhos","04/07/2021"
"Irmã Dulce","04/07/2021"
"A Escavação","27/06/2021"
"O Grande Guerreiro Otomano: Temporada 1: Episódio 1","27/06/2021"
"Tim Maia","03/06/2021"
"Professor Polvo","03/06/2021"
"Como o Cérebro Cria","03/06/2021"
"Shtisel: Temporada 1: Episódio 1","03/06/2021"
"The Crown: Temporada 4: Guerra","08/05/2021"
"The Crown: Temporada 4: Avalanche","08/05/2021"
"Os Salafrários","08/05/2021"
"Challenger: Voo Final: Minissérie: Nada acaba aqui","01/05/2021"
"Challenger: Voo Final: Minissérie: Uma grande avaria","01/05/2021"
"Challenger: Voo Final: Minissérie: Socorro!","01/05/2021"
"Challenger: Voo Final: Minissérie: O espaço para todos","01/05/2021"
"A Vida em Cores com David Attenborough: Enxergando as cores","29/04/2021"
"Radioactive","28/04/2021"
"The Crown: Temporada 4: Quarenta e oito contra um","21/04/2021"
"The Crown: Temporada 4: O princípio da hereditariedade","21/04/2021"
"The Crown: Temporada 4: Terra de ninguém","18/04/2021"
"The Crown: Temporada 4: Fagan","10/04/2021"
"The Crown: Temporada 4: Favoritos","10/04/2021"
"The Crown: Temporada 4: Conto de fadas","04/04/2021"
"The Crown: Temporada 4: O teste de Balmoral","03/04/2021"
"The Crown: Temporada 4: Guarda-costas","03/04/2021"
"Trabalho interno","02/04/2021"
"Legado Italiano","02/04/2021"
"The Crown: Temporada 3: Cri de coeur","01/04/2021"
"The Crown: Temporada 3: Imbróglio","01/04/2021"
"The Crown: Temporada 3: Na corda bamba","27/03/2021"
"The Crown: Temporada 3: Poeira lunar","27/03/2021"
"Ascensão: Império Otomano: Rompendo barreiras","27/03/2021"
"Ascensão: Império Otomano: O novo sultão","27/03/2021"
"Os Cavaleiros do Zodíaco: Cisne, o guerreiro do gelo","25/03/2021"
"Os Cavaleiros do Zodíaco: Quando Seiya veste a Armadura de Pégaso","25/03/2021"
"Os Cavaleiros do Zodíaco: As Lendas de Uma Nova Era","25/03/2021"
"Suits: Temporada 6: Às encrencas","25/03/2021"
"Quanto Tempo o Tempo Tem","20/03/2021"
"Cabras da Peste","20/03/2021"
"The Story of Diana: Parte 2","14/03/2021"
"The Story of Diana: Parte 1","13/03/2021"
"The Crown: Temporada 3: Tywysog Cymru","13/03/2021"
"The Crown: Temporada 3: Golpe","13/03/2021"
"The Royal House of Windsor: Amor e dever","07/03/2021"
"The Crown: Temporada 3: Bubbikins","07/03/2021"
"The Crown: Temporada 3: Aberfan","07/03/2021"
"A Indústria da Cura: Jejum","07/03/2021"
"The Crown: Temporada 3: Margaretologia","06/03/2021"
"The Crown: Temporada 3: Olding","06/03/2021"
"The Crown: Temporada 2: Homem misterioso","28/02/2021"
"The Crown: Temporada 2: Paterfamilias","28/02/2021"
"Império Romano: Calígula: O Imperador Louco: Uma nova esperança","28/02/2021"
"Império Romano: Calígula: O Imperador Louco: Herdeiro por direito","28/02/2021"
"The Crown: Temporada 2: Cara Sra. Kennedy","27/02/2021"
"The Crown: Temporada 2: Matrimonium","27/02/2021"
"E a Vida Continua","25/02/2021"
"The Crown: Temporada 2: Vergangenheit","21/02/2021"
"The Crown: Temporada 2: Marionetes","21/02/2021"
"Os Dez Mandamentos - O Filme","21/02/2021"
"Enola Holmes","21/02/2021"
"The Crown: Temporada 2: Beryl","21/02/2021"
"The Crown: Temporada 2: Lisboa","20/02/2021"
"The Crown: Temporada 2: Uma companhia masculina","20/02/2021"
"100 Humanos: O que nos torna atraentes?","20/02/2021"
"The Crown: Temporada 2: Desventura","14/02/2021"
"The Crown: Temporada 1: Gloriana","14/02/2021"
"História: Direto ao Assunto: Temporada 1: Petróleo do Oriente Médio","14/02/2021"
"História: Direto ao Assunto: Temporada 1: Plásticos","13/02/2021"
"História: Direto ao Assunto: Temporada 1: Ascensão da China","13/02/2021"
"História: Direto ao Assunto: Temporada 1: Corrida espacial","13/02/2021"
"História: Direto ao Assunto: Temporada 1: Fast Food","13/02/2021"
"Raul, o Início, o Fim e o Meio","13/02/2021"
